[2026-06-28T22:08:32] nave=53190 tipo=compra recurso=oxigeno cantidad=10 precio=80
[2026-06-28T22:08:32] nave=53190 tipo=compra recurso=combustible cantidad=10 precio=120
[2026-06-28T22:08:32] nave=53190 tipo=compra recurso=oxigeno cantidad=10 precio=80
[2026-06-28T22:08:32] nave=53190 tipo=compra recurso=combustible cantidad=10 precio=120
[2026-06-28T22:08:32] nave=53190 tipo=compra recurso=oxigeno cantidad=10 precio=80
[2026-06-28T22:08:32] nave=53190 tipo=compra recurso=combustible cantidad=10 precio=120
[2026-06-28T22:08:32] nave=53190 tipo=compra recurso=oxigeno cantidad=10 precio=80
[2026-06-28T22:08:32] nave=53190 tipo=compra recurso=combustible cantidad=10 precio=120
[2026-06-28T22:08:32] nave=53190 tipo=compra recurso=oxigeno cantidad=10 precio=80
[2026-06-28T22:08:32] nave=53190 tipo=compra recurso=combustible cantidad=10 precio=120
[2026-06-28T22:08:32] nave=53190 tipo=compra recurso=oxigeno cantidad=10 precio=80
[2026-06-28T22:08:33] nave=53190 tipo=compra recurso=oxigeno cantidad=10 precio=80
[2026-06-28T22:08:33] nave=53190 tipo=compra recurso=combustible cantidad=10 precio=120
[2026-06-28T22:08:33] nave=53190 tipo=compra recurso=oxigeno cantidad=10 precio=80
[2026-06-28T22:08:33] nave=53190 tipo=compra recurso=combustible cantidad=10 precio=120
[2026-06-28T22:08:33] nave=53190 tipo=compra recurso=combustible cantidad=10 precio=120
[2026-06-28T22:08:33] nave=53190 tipo=compra recurso=oxigeno cantidad=10 precio=80
[2026-06-28T22:08:33] nave=53190 tipo=compra recurso=combustible cantidad=10 precio=120
[2026-06-28T22:08:33] nave=53190 tipo=compra recurso=oxigeno cantidad=10 precio=80
[2026-06-28T22:08:33] nave=53190 tipo=compra recurso=combustible cantidad=10 precio=120
[2026-06-28T22:08:33] nave=53190 tipo=compra recurso=oxigeno cantidad=10 precio=80
[2026-06-28T22:08:33] nave=53190 tipo=compra recurso=combustible cantidad=10 precio=120
[2026-06-28T22:08:33] nave=53190 tipo=compra recurso=oxigeno cantidad=10 precio=80
[2026-06-28T22:08:34] nave=53190 tipo=compra recurso=combustible cantidad=10 precio=120
[2026-06-28T22:08:34] nave=53190 tipo=compra recurso=oxigeno cantidad=10 precio=80
[2026-06-28T22:08:34] nave=53190 tipo=compra recurso=combustible cantidad=10 precio=120
[2026-06-28T22:08:34] nave=53190 tipo=compra recurso=oxigeno cantidad=10 precio=80
[2026-06-28T22:08:34] nave=53190 tipo=compra recurso=oxigeno cantidad=10 precio=80
[2026-06-28T22:08:34] nave=53190 tipo=compra recurso=combustible cantidad=10 precio=120
[2026-06-28T22:08:34] nave=53190 tipo=compra recurso=oxigeno cantidad=10 precio=80
[2026-06-28T22:08:34] nave=53190 tipo=compra recurso=combustible cantidad=10 precio=120
[2026-06-28T22:08:34] nave=53190 tipo=compra recurso=oxigeno cantidad=10 precio=80
[2026-06-28T22:08:34] nave=53190 tipo=compra recurso=combustible cantidad=10 precio=120
[2026-06-28T22:08:34] nave=53190 tipo=compra recurso=oxigeno cantidad=10 precio=80
[2026-06-28T22:08:35] nave=53190 tipo=compra recurso=combustible cantidad=10 precio=120
[2026-06-28T22:08:35] nave=53190 tipo=compra recurso=oxigeno cantidad=10 precio=80
